TP9,AF7,AF8,TP10,Right AUX,wordClass
34.18,33.203,24.902,28.809,2.93,41
24.414,34.668,23.926,13.184,-0.977,41
19.531,33.691,26.855,0.488,-25.879,41
24.902,30.762,27.832,8.789,-15.137,41
31.738,29.297,27.832,25.391,29.297,41
25.879,29.297,28.809,20.02,19.043,41
16.113,33.203,28.320,1.953,-9.766,41
21.484,33.203,28.809,7.324,55.176,117
34.668,31.25,29.297,26.855,108.887,117
32.227,30.273,32.227,28.32,92.773,117
16.602,27.344,32.715,7.812,18.066,117
17.09,26.855,30.273,3.906,15.625,117
34.668,29.785,32.227,24.902,55.176,117
38.086,30.762,35.645,34.668,23.438,117
25.879,29.297,33.691,16.113,20.996,117
20.02,29.297,30.762,8.301,62.988,117
31.25,34.18,34.180,25.391,74.707,117
44.434,34.668,36.621,45.41,42.48,117
31.25,29.785,31.250,26.855,36.133,117
20.02,31.25,27.344,7.812,40.527,117
23.438,29.785,27.344,18.555,36.621,117
33.203,27.832,29.785,38.086,56.641,117
28.809,30.762,31.250,32.227,38.574,117
20.508,31.25,28.809,8.789,18.066,117
25.879,28.32,27.344,9.277,20.02,117
39.551,27.344,28.320,34.668,46.387,117
39.062,28.809,30.273,41.016,54.199,117
24.902,26.367,29.785,16.113,19.043,117
23.438,25.879,28.320,6.836,-2.93,117
35.156,28.809,29.297,20.996,46.387,117
41.992,33.691,29.297,30.273,65.43,117
31.25,37.109,28.809,15.137,-18.555,117
20.996,33.691,31.738,4.395,-13.184,117
28.809,30.762,31.250,16.602,47.852,117
49.316,38.574,32.227,44.434,61.035,117
32.227,38.086,34.668,39.062,29.785,117
15.625,29.785,27.344,10.742,27.832,117
29.297,31.25,22.461,22.461,48.34,117
37.598,35.645,24.414,34.668,45.898,117
32.227,34.18,26.367,21.973,74.707,117
15.137,31.738,23.926,-2.441,38.086,117
22.461,33.691,23.926,-0.977,26.367,117
43.457,34.668,27.344,31.25,31.25,117
43.457,34.18,28.320,36.621,10.254,117
24.902,33.691,30.762,15.625,-8.301,117
21.973,33.203,32.715,9.277,-45.41,117
33.691,34.668,31.738,25.879,32.227,117
39.551,34.668,32.227,38.574,57.617,117
27.344,30.762,32.227,19.043,-39.551,117
25.879,30.762,30.273,5.371,-8.789,117
42.969,38.086,34.180,20.996,30.762,117
49.316,36.133,37.109,37.109,-16.602,117
34.668,31.738,32.227,20.996,30.273,117
21.973,31.25,29.297,1.953,-8.789,117
25.879,27.832,29.785,11.719,-64.941,117
42.48,30.273,30.273,37.109,-1.953,117
41.992,33.203,29.785,41.992,28.32,117
26.367,32.227,29.785,23.926,21.973,117
27.832,32.715,28.320,21.484,38.086,117
41.016,34.668,31.738,41.992,55.664,59
36.621,32.715,31.738,41.016,59.082,59
25.879,31.738,30.273,18.066,-7.812,59
24.902,34.18,32.227,2.441,-32.227,59
33.203,33.691,33.203,14.648,-10.254,59
43.945,31.25,30.762,35.645,-6.348,59
27.832,28.809,31.738,19.043,-2.441,59
19.043,28.809,38.086,5.859,15.625,59
36.621,33.691,39.551,16.113,36.133,59
